tissue,treatment,time,cat_tissue,gst_tissue,nadph_tissue,cat_zoox,gst_zoox
healthy,Control,1,0.345765,0.691238,0.3284839720,0.404781481247233,0.0207516286
healthy,Control,1,0.442948,0.313653,0.2718582288,0.313534094842506,0.0100951194
healthy,Control,1,0.396626,0.441347,0.3316146338,0.227170826483336,0.0149438595
healthy,dmso,1,1.97648,0.204543,0.4101706555,0.600526825806275,0.0031255910
healthy,dmso,1,2.186095,0.27537,0.4118108658,0.415601023017903,0.0014568414
healthy,dmso,1,1.503146,0.342821,0.4108531796,0.540676654709151,0.0038621372
healthy,bap,1,0.566202,0.809115,0.1433625074,0.162769511084118,0.0344774977
healthy,bap,1,0.44971,0.717726,0.0607730881,0.22015823873409,0.0274548512
healthy,bap,1,0.486678,0.992578,0.2323200593,0.1882966911,0.0148425494
ybd,Control,1,5.732144,0.373943,0.2716308967,0.884449501324468,0.0095259257
ybd,Control,1,7.648003,0.292892,0.1616916943,0.877335499593826,0.0095775156
ybd,Control,1,6.20198,0.321407,0.3364256211,0.927198370780006,0.0098765156
ybd,dmso,1,2.623557,0.805574,0.2990650029,0.275355199915491,0.0053639677
ybd,dmso,1,2.916781,0.703783,0.6458567015,0.385242258112313,0.0038833793
ybd,dmso,1,3.485238,0.616249,0.7701411598,0.532409102798849,0.0042039642
ybd,bap,1,0.370351,0.672934,0.0614437066,0.450876972402087,0.0242812500
ybd,bap,1,0.47702,0.868123,0.0211356280,0.618058908739739,0.0157865016
ybd,bap,1,0.391057,0.960698,0.0326794248,0.562675836198812,0.0112248494
healthy,Control,2,6.804859,0.196858,0.3736934928,0.210563256711704,0.0116515178
healthy,Control,2,5.93889,0.118543,0.3623579487,0.19928352826742,0.0145178050
healthy,Control,2,5.888548,0.122598,0.3547979465,0.2481763202,0.0102283185
healthy,dmso,2,4.952255,0.754074,0.1376203945,0.112803158488438,0.0231232650
healthy,dmso,2,4.817359,0.993577,0.0820438288,0.154440154440154,0.0107153265
healthy,bap,2,2.783248,0.302704,0.3898339760,0.396055684454756,0.0157725246
healthy,bap,2,3.825983,0.531574,0.3899454594,0.298762270593257,0.0323725246
healthy,bap,2,3.951177,0.373241,0.3946200009,0.101954120645709,0.0170548831
ybd,Control,2,2.407105,0.828905,0.1317189178,0.353385270259417,0.0205947485
ybd,Control,2,2.87168,0.869414,0.1711440473,0.292358097498856,0.0228777024
ybd,Control,2,3.520052,0.961706,0.2784553773,0.287412882292997,0.0208461754
ybd,dmso,2,5.442372,1.018074,0.4034467578,0.153964588144727,0.0050286215
ybd,dmso,2,4.893295,1.01928,0.4029687619,0.130344108446298,0.0070396215
ybd,dmso,2,4.459104,1.039949,0.4142218197,0.213219616204691,0.0041111111
ybd,bap,2,5.406001,0.851765,0.3755912336,0.226862239239812,0.0017745327
ybd,bap,2,4.527751,0.515172,0.4144740438,0.138600138600139,0.0021235327
ybd,bap,2,5.442372,0.701807,0.4034467578,0.153964588144727,0.0011693610
healthy,Control,3,1.854878,0.150255,0.1112378200,0.278099652375435,0.0142822711
healthy,Control,3,1.240115,0.142095,0.0416985712,0.382382916767775,0.0172715360
healthy,Control,3,2.655334,0.277692,0.1380238940,0.297584983403914,0.0165815360
healthy,dmso,3,1.328548,0.432604,0.4200336443,0.288253663223637,0.0065912913
healthy,dmso,3,1.286025,0.323417,0.4209595862,0.114213922677174,0.0087905913
healthy,dmso,3,2.453025,0.488992,0.4203021329,0.2477355423,0.0060462887
healthy,bap,3,4.27451,0.598098,0.4013739401,0.251848758636398,0.0046404324
healthy,bap,3,4.570335,0.587621,0.3981171775,0.223440991265489,0.0068762949
healthy,bap,3,3.819603,0.458839,0.3649367196,0.371793282934688,0.0050021068
ybd,Control,3,3.339827,0.540333,0.1366311914,0.778270682543389,0.0018891468
ybd,Control,3,2.336284,0.613534,0.0529022386,0.609623339865012,0.0014929676
ybd,Control,3,3.6776,0.648938,0.0880469764,0.673986302859006,0.0019268676
ybd,dmso,3,6.1656,1.552763,0.3802260371,0.380799679326586,0.0131605159
ybd,dmso,3,6.620071,1.038682,0.3983870770,0.101597705858255,0.0134413765
ybd,dmso,3,4.979208,1.653241,0.3983932209,0.114213922677174,0.0123426418
ybd,bap,3,1.067236,1.727542,0.3913174867,0.115884115884116,0.0054629371
ybd,bap,3,1.545249,1.180662,0.4059725828,0.232450023245002,0.0038683706
ybd,bap,3,4.531541,1.697637,0.4128477043,0.16718214494692,0.0014607688
